Dataset,Year,Modality,Image Source,Primary Imaged Regions,Secondary Imaged Regions,3D Bone Shapes,3D Format,N subjects,Subjects Metadata,Accessibility,Redistribution Permission,License
19,2023,CT,Adopted,,,Cranial Bones; Facial Bones; Cervical Vertebrae; Thoracic Vertebrae; Lumbar Vertebrae; Sacrum; Ribs; Sternum; Clavicle; Scapula; Humerus; Hip Bones; Proximal Femur,Voxel Mask,533,Age; Gender; Weight; Height; to be obtained from the source datasets,Open,Allowed,CC BY 4.0
20,2025,CT,Mixed,Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,Cranial Bones; Facial Bones; Cervical Vertebrae; Thoracic Vertebrae; Lumbar Vertebrae; Sacrum; Ribs; Clavicle; Scapula; Humerus; Hip Bones; Femur,Voxel Mask,22022,"N/A; Metadata is not directly available, but some sources include it.",Open,Mixed,"mixed, depends on the source datasets; CC BY 4.0; CC BY 3.0; CC BY-SA 4.0; CC BY-NC 4.0; CC BY-NC-ND 4.0; CC BY-NC-SA 4.0; TCIA Restricted; Other"
21,2025,MRI,Original,,Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,Cervical Vertebrae; Thoracic Vertebrae; Lumbar Vertebrae; Sacrum; Clavicle; Scapula; Humerus; Hip Bones; Femur,Voxel Mask,616,,Open,Allowed,CC BY-NC-SA 2.0
22,2024,CT,Original,Abdomen,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,Thoracic Vertebrae; Lumbar Vertebrae; Sacrum; Ribs; Sternum; Clavicle; Scapula; Hip Bones; Proximal Femur,Voxel Mask,233,Age; Gender; Vital Status,Open,Allowed,CC BY 4.0
23,2021,CT,Original,Shoulder; Knee,Shoulder; Upper Arm; Upper Leg; Knee; Lower Leg,Clavicle; Scapula; Proximal Humerus; Patella; Distal Femur; Proximal Fibula; Proximal Tibia,Voxel Mask,24,Age; Gender,Restricted,Not Allowed,Other
24,2020,CT,Mixed,Abdomen; Lumbar Spine; Pelvis; Hip,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Hip; Upper Leg,Thoracic Vertebrae; Lumbar Vertebrae; Sacrum; Ribs; Hip Bones; Proximal Femur,Voxel Mask,140,,Open,Allowed,CC BY 3.0
25,2024,MRI,Original,Cervical Spine; Thoracic Spine,Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Lumbar Spine,Cranial Bones; Cervical Vertebrae; Thoracic Vertebrae; Lumbar Vertebrae,Voxel Mask,60,Age; Gender; Weight; Height,Open,Allowed,CC0 1.0
26,2024,CT,Adopted,Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Hip,Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Hip; Upper Leg,Cervical Vertebrae; Thoracic Vertebrae; Lumbar Vertebrae,Voxel Mask,1005,Age; Gender,Open,Allowed,CC BY-NC-SA 4.0
27,2020,CT,Original,Cervical Spine; Thoracic Spine; Lumbar Spine,Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Hip; Upper Leg,Cervical Vertebrae; Thoracic Vertebrae; Lumbar Vertebrae,Voxel Mask,355,Age; Gender,Open,Allowed,CC BY-SA 4.0
28,2019,CT,Adopted,Abdomen; Lumbar Spine; Pelvis; Hip,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Hip; Upper Leg,Sacrum; Hip Bones; Proximal Femur,Voxel Mask,90,Gender,Restricted,Allowed,Other
