Dataset,Year,Modality,Image Source,Primary Imaged Regions,Secondary Imaged Regions,3D Bone Shapes,3D Format,N subjects,Subjects Metadata,Accessibility,Redistribution Permission,License
93,2021,CT,Original,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Shoulder; Upper Arm,,,2000,Age; Gender; Clinical Condition,Open,Allowed,CC BY-NC 4.0
94,2016,CT,Original,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,,,70,Age; Gender; Clinical Condition,Open,Allowed,CC BY 3.0
95,2025,CT,Adopted,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,,,2120,Age; Gender; Clinical Condition,Open,Allowed,CC BY 4.0
96,2020,CT,Original,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,,,1010,Age; Gender; Clinical Condition,Open,Allowed,CC BY 3.0
97,2022,CT,Original,Pelvis; Hip,Lumbar Spine; Pelvis; Hip; Upper Leg,,,21,,Open,Allowed,CC BY 4.0
98,2016,CT,Adopted,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,,,888,,Open,Allowed,CC BY 4.0
99,2023,CT,Original,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,,,294,,Open,Allowed,CC BY 4.0
100,2023,CT,Original,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,,,30,,Open,Allowed,Apache 2.0
101,2011,CT,Original,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,,,55,,Open,Not Allowed,Other
102,2024,CT; PET,Adopted,Neurocranium; Viscerocranium; Cervical Spine,Neurocranium; Viscerocranium; Cervical Spine,,,215,Age; Gender; Weight; Height; BMI; Vital Status; Clinical Condition,Restricted,Not Allowed,Other; TCIA Restricted
103,2021,MRI,Original,Neurocranium; Cervical Spine,Neurocranium; Viscerocranium; Cervical Spine,,,261,Age; Gender; Weight; Height; Orthopedic Relevant Condition,Open,Allowed,CC BY 4.0
104,2017,CT,Original,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen,,,47,Age; Gender; available only for 10 subjects,Open,Allowed,CC BY 3.0
105,2025,MRI,Original,Neurocranium; Viscerocranium; Cervical Spine,Neurocranium; Viscerocranium; Cervical Spine,,,11,Age; Gender,Open,Allowed,CC BY 4.0
106,2021,CT,Original,Neurocranium,Neurocranium; Viscerocranium; Cervical Spine,,,1476,Age; Gender,Restricted,Allowed,CC BY-NC-SA 4.0
107,2024,MRI,Original,Cervical Spine,Viscerocranium; Cervical Spine; Thoracic Spine,,,101,Orthopedic Relevant Condition,Open,Allowed,CC BY 4.0
108,2021,CT,Original,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen,,,81,Gender,Open,Allowed,CC BY-NC 4.0
109,2012,CT,Original,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen,,,20,,Open,Allowed,CC BY 4.0
110,2025,MRI,Original,Pelvis; Hip,Abdomen; Pelvis; Hip,,,132,,Open,Allowed,CC BY 4.0
111,2019,CT,Original,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Shoulder,,,91,,Open,Allowed,CC BY 4.0
112,2025,CT,Original,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Shoulder,,,74,,Open,Allowed,CC BY 4.0
113,2024,CT,Original,Neurocranium; Viscerocranium; Cervical Spine,Neurocranium; Viscerocranium; Cervical Spine,,,3346,,Restricted,Not Allowed,Other; TCIA Restricted
114,2007,MRI,Original,Neurocranium; Viscerocranium,Neurocranium; Viscerocranium,,,600,Age; Gender; Weight; Height; Ethnicity; Vital Status; Clinical Condition; marital status; Occupation,Open,Allowed,CC BY-SA 3.0
115,2018,MRI,Original,Hip; Upper Leg,Hip; Upper Leg,,,19,Age; Gender; Weight; Height,Open,Unknown,N/A
116,2021,CT,Original,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine,,,260,Age; Gender; Weight; Clinical Condition,Open,Unknown,N/A
117,2023,CT,Mixed,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine,,,130,Age; Gender; Clinical Condition,Open,Allowed,CC BY 4.0
118,2020,CT,Original,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine,,,110,Age; Gender; Clinical Condition,Open,Allowed,Apache 2.0
119,2025,CT,Original,Neurocranium,Neurocranium; Viscerocranium,,,149,Age; Gender; Blood Test,Open,Allowed,CC BY-NC-SA 4.0
120,2025,MRI,Original,Abdomen; Lumbar Spine,Abdomen; Lumbar Spine,,,339,Age; Gender; Clinical Condition,Open,Allowed,CC BY-NC 4.0
121,2025,CT; MRI,Original,Neurocranium,Neurocranium; Cervical Spine,,,4405,Age; Gender; Clinical Condition,Open,Not Allowed,Other
122,2020,CT,Original,Neurocranium,Neurocranium; Viscerocranium,,,75,Age; Gender; Orthopedic Relevant Condition,Open,Not Allowed,Other; PhysioNet Restricted Health Data License 1.5.0
123,2024,MRI,Original,Neurocranium,Neurocranium; Viscerocranium,,,78,Age; Gender,Open,Allowed,CC0 1.0
124,2021,MRI,Original,Viscerocranium,Neurocranium; Viscerocranium,,,145,Age; Gender,Open,Allowed,CC0 1.0
125,2025,MRI; UltraSound,Original,Neurocranium,Neurocranium; Viscerocranium,,,8,Age; Gender,Open,Allowed,CC BY 4.0
126,2018,CT,Original,Thoracic Cage,Thoracic Cage; Thoracic Spine,,,35,Age; Gender,Open,Unknown,N/A
127,2025,CT,Original,Viscerocranium,Neurocranium; Viscerocranium,,,40,Age; Gender,Open,Not Allowed,CC BY-NC-ND 4.0
128,2018,MRI,Original,Neurocranium; Viscerocranium,Neurocranium; Viscerocranium,,,359,Gender; Age,Open,Not Allowed,CC BY-ND 4.0
129,2020,CT,Original,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine,,,7929,Clinical Condition,Open,Allowed,Other
130,2022,MRI,Original,Neurocranium,Neurocranium; Viscerocranium,,,284,Clinical Condition,Open,Allowed,CC0 1.0
131,2024,MRI,Original,Neurocranium,Neurocranium; Viscerocranium,,,20,,Open,Allowed,CC BY 4.0
132,2025,CT; MRI,Mixed,Neurocranium,Neurocranium; Viscerocranium,,,346,,Open,Allowed,Other
133,2025,CT; MRI,Adopted,Neurocranium,Neurocranium; Viscerocranium,,,25,,Open,Allowed,Other
134,2024,CT,Original,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine,,,32,,Open,Allowed,CC BY 4.0
135,2023,CT,Original,Neurocranium; Viscerocranium,Neurocranium; Viscerocranium,,,658,,Open,Allowed,MIT
136,2022,MRI,Adopted,Neurocranium; Viscerocranium,Neurocranium; Viscerocranium,,,507,,Open,Allowed,CC BY 4.0
137,2024,MRI,Original,Viscerocranium; Cervical Spine,Viscerocranium; Cervical Spine,,,150,,Open,Allowed,CC BY-NC 4.0
138,2024,CT,Original,Wrist; Hand,Wrist; Hand,,,8,,Open,Allowed,CC BY-SA 4.0
139,2018,CT,Original,Neurocranium,Neurocranium; Viscerocranium,,,491,,Open,Allowed,CC BY-NC-SA 4.0
140,2016,MRI,Original,Neurocranium,Neurocranium; Viscerocranium,,,125,,Open,Unknown,N/A
141,2024,CT,Adopted,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine,,,124,,Open,Unknown,N/A
142,2010,CT,Original,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine,,,30,,Open,Not Allowed,Other
143,2021,CT; MRI,Original,Neurocranium; Viscerocranium,Neurocranium; Viscerocranium,,,75,,Restricted,Allowed,CC BY-NC-SA 4.0
144,2008,MRI,Original,Knee,Knee,,,4796,Age; Gender; Ethnicity; Orthopedic Relevant Condition,Open,Unknown,Other
145,2020,MRI,Original,Knee,Knee,,,9311,Age; Gender; Weight; Height,Open,Not Allowed,Other
146,2017,MRI,Original,Neurocranium,Neurocranium,,,27,Age; Gender; Clinical Condition,Open,Allowed,CC BY-NC-SA 4.0
147,2025,MRI,Adopted,Neurocranium,Neurocranium,,,34139,Age; Gender,Open,Allowed,CC BY 4.0
148,2024,MRI,Original,Lumbar Spine,Lumbar Spine,,,1975,Orthopedic Relevant Condition,Open,Not Allowed,Other; Subject to Competition Rules
149,2018,MRI,Original,Knee,Knee,,,1250,Orthopedic Relevant Condition,Open,Not Allowed,Other; Stanford University Dataset Research Use Agreement
150,2025,MRI,Original,Knee,Knee,,,1190,,Open,Allowed,CC BY 4.0
151,2025,MRI,Adopted,Neurocranium,Neurocranium,,,11187,,Open,Mixed,"mixed, depends on the source datasets; CC BY-NC 4.0; CC BY-SA 4.0; CC0 1.0; Other"
152,2018,MRI,Original,Lumbar Spine,Lumbar Spine,,,25,,Restricted,Not Allowed,N/A
