Dataset Name,Access Link,Related Paper,Country,Year,Size,Remarks,Medical Images Included,Imaging Modality,Image Source,Image Source Details,Primary Imaged Regions,Secondary Imaged Regions,Available 3D Bone Shapes,Additional Structures,Landmarks,Voxel Segmentation Mask,Mesh Model,CAD Model,Number of Subjects,Available Information per Subject,Subjects Vital Status,Subjects Clinical Condition,Access Policy,Data Redistribution Policy,Research Use Policy,Commercial Use Policy,License
,,,USA,2025,69.4,,Yes,CT,Adopted,,Abdomen,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,,,,,585,,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,Germany,2017,68.8,,Yes,CT,Original,,Abdomen; Lumbar Spine; Pelvis; Hip,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,,,,,201,,,,Open Access,Allowed,Allowed,Restricted,CC BY-NC-SA 4.0
,,,China,2021,78.5,,Yes,CT,Original; Adopted,,Abdomen,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,,,,,1062,,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,China,2024,5630,,Yes,CT,Adopted,,Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,,,,,,,160167,,,,Open Access,Allowed; Restricted,,,"mixed, depends on the source datasets"
,,,USA,2015,102,,Yes,CT,Original,,Abdomen; Lumbar Spine; Pelvis; Hip,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,,,,,100,,,,Open Access,Not Specified,Not Specified,Not Specified,N/A
,,,France,2020,2.56,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine,Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Shoulder; Upper Arm,,,,,,,60,,,,Open Access,Restricted,,,Other
,,,Slovenia,2023,4.9,,Yes,CT; MRI,Original,,Neurocranium; Viscerocranium; Cervical Spine,Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Shoulder; Upper Arm,,,,,,,42,,,,Open Access,Restricted,Allowed,Restricted,CC BY-NC-ND 4.0
,,,Netherlands,2020,35.78,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Shoulder; Upper Arm,,,,,,,422,Age; Gender; Clinical Condition,,,Open Access,Allowed,Allowed,Restricted,CC BY-NC 3.0
,,,UK,2013,13.1,,Yes,CT,Original,,Cervical Spine; Thoracic Spine; Lumbar Spine,Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis,,,,,,,125,Age; Gender,,,Open Access,Restricted,Allowed,Restricted,CC BY-NC-ND 4.0
,,,USA,2019,228,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine; Abdomen,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip,,,,,,,200,,,,Open Access,Not Specified,Not Specified,Not Specified,N/A
,,,Germany; Netherlands,2007,1.9,,Yes,CT,Original,,Abdomen,Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,,,,,30,,,,Open Access,Restricted,,,Other
,,,China,2022,11.1,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine,Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Shoulder,,,,,,,200,,,,Restricted,Restricted,,,Other
,,,USA,2023,2.6,,Yes,MRI,Adopted,,Abdomen; Lumbar Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis,,,,,,,17,Age; Gender; Weight; Height,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,USA,2019,0.211,,Yes,CT,Original,,Abdomen; Lumbar Spine,Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip,,,,,,,6,Age; Gender; Weight; Height,,,Open Access,Not Specified,Not Specified,Not Specified,N/A
,,,Iran,2020,120.06,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Shoulder,,,,,,,1013,Age; Gender,,,Open Access,Allowed,Allowed,Allowed,CC0 1.0
,,,China,2020,1.1,,Yes,CT,Adopted,,Thoracic Cage,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Shoulder,,,,,,,20,Age; Gender,,,Open Access,Allowed,Allowed,Restricted,CC BY-NC-SA 2.0
,,,Sweden,2017,1.6,,Yes,CT; MRI,Original,,Pelvis; Hip,Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,,,,,19,Gender,,,Restricted,Allowed,Not Specified,Not Specified,N/A
,,,USA,2024,641.49,,Yes,MRI,Original,,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,,,,,,,141,,,,Open Access,Allowed,Allowed,Allowed,CC0 1.0
,,,China,2020,77.8,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Shoulder,,,,,,,660,,,,Open Access,Allowed,Allowed,Restricted,CC BY-NC 4.0
,,,China,2022,156.1,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Shoulder,,,,,,,1136,,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,USA,2023,16.2,,Yes,CT,Original; Adopted,,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Shoulder,,,,,,,30,,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,Turkey,2019,2,,Yes,CT; MRI,Original,,Abdomen,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis,,,,,,,80,,,,Open Access,Allowed,Allowed,Restricted,CC BY-NC-SA 4.0
,,,Italy,2024,,,Yes,CT,Original,,Abdomen,Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,,,,,1300,,,,Restricted,Not Specified,Not Specified,Not Specified,N/A
,,,Canada,2021,10.5,,Yes,CT,Original,,Thoracic Cage,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,,,,,,,305,Age; Gender; Weight; Clinical Condition,,,Open Access,Allowed,Allowed,Allowed,CC0 1.0
,,,France,2021,243,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Shoulder; Upper Arm,,,,,,,2000,Age; Gender; Clinical Condition,,,Open Access,Allowed,Allowed,Restricted,CC BY-NC 4.0
,,,USA,2016,12.07,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,,,,,,,70,Age; Gender; Clinical Condition,,,Open Access,Allowed,Allowed,Allowed,CC BY 3.0
,,,Netherlands,2025,221.1,,Yes,CT,Adopted,,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,,,,,,,2120,Age; Gender; Clinical Condition,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,USA,2020,133.15,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,,,,,,,1010,Age; Gender; Clinical Condition,,,Open Access,Allowed,Allowed,Allowed,CC BY 3.0
,,,N/A,2022,1.9,,Yes,CT,Original,,Pelvis; Hip,Lumbar Spine; Pelvis; Hip; Upper Leg,,,,,,,21,,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,Netherlands,2016,66.7,,Yes,CT,Adopted,,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,,,,,,,888,,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,Portugal,2023,30.3,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,,,,,,,294,,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,China,2023,2.44,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,,,,,,,30,,,,Open Access,Allowed,,,Apache 2.0
,,,Netherlands,2011,7.7,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,,,,,,,55,,,,Open Access,Restricted,,,Other
,,,USA,2024,99.79,,Yes,CT; PET,Adopted,,Neurocranium; Viscerocranium; Cervical Spine,Neurocranium; Viscerocranium; Cervical Spine,,,,,,,215,Age; Gender; Weight; Height; BMI; Vital Status; Clinical Condition,,,Restricted,Restricted,Restricted,Restricted,Other; TCIA Restricted
,,,Canada,2021,53,,Yes,MRI,Original,,Neurocranium; Cervical Spine,Neurocranium; Viscerocranium; Cervical Spine,,,,,,,261,Age; Gender; Weight; Height; Orthopedic Relevant Condition,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,USA,2017,2.09,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen,,,,,,,47,Age; Gender; available only for 10 subjects,,,Open Access,Allowed,Allowed,Allowed,CC BY 3.0
,,,USA,2025,34.4,,Yes,MRI,Original,,Neurocranium; Viscerocranium; Cervical Spine,Neurocranium; Viscerocranium; Cervical Spine,,,,,,,11,Age; Gender,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,China,2021,215,,Yes,CT,Original,,Neurocranium,Neurocranium; Viscerocranium; Cervical Spine,,,,,,,1476,Age; Gender,,,Restricted,Allowed,Allowed,Restricted,CC BY-NC-SA 4.0
,,,USA,2024,2.74,,Yes,MRI,Original,,Cervical Spine,Viscerocranium; Cervical Spine; Thoracic Spine,,,,,,,101,Orthopedic Relevant Condition,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,Italy,2021,26.13,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen,,,,,,,81,Gender,,,Open Access,Allowed,Allowed,Restricted,CC BY-NC 4.0
,,,Spain; Netherlands,2012,2.2,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen,,,,,,,20,,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,USA,2025,8,,Yes,MRI,Original,,Pelvis; Hip,Abdomen; Pelvis; Hip,,,,,,,132,,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,Spain,2019,12.8,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Shoulder,,,,,,,91,,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,China,2025,9,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Shoulder,,,,,,,74,,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,Canada,2024,391.68,,Yes,CT,Original,,Neurocranium; Viscerocranium; Cervical Spine,Neurocranium; Viscerocranium; Cervical Spine,,,,,,,3346,,,,Restricted,Restricted,Restricted,Restricted,Other; TCIA Restricted
,,,UK,2007,8.09; calculated for T1 and T2 images only,,Yes,MRI,Original,,Neurocranium; Viscerocranium,Neurocranium; Viscerocranium,,,,,,,600,Age; Gender; Weight; Height; Ethnicity; Vital Status; Clinical Condition; marital status; Occupation,,,Open Access,Allowed,Allowed,Allowed,CC BY-SA 3.0
,,,Germany,2018,2.9,,Yes,MRI,Original,,Hip; Upper Leg,Hip; Upper Leg,,,,,,,19,Age; Gender; Weight; Height,,,Open Access,Not Specified,Not Specified,Not Specified,N/A
,,,Canada,2021,10.63,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine,,,,,,,260,Age; Gender; Weight; Clinical Condition,,,Open Access,Not Specified,Not Specified,Not Specified,N/A
,,,Canada,2023,4.83,,Yes,CT,Original; Adopted,,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine,,,,,,,130,Age; Gender; Clinical Condition,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,China,2020,8.94,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine,,,,,,,110,Age; Gender; Clinical Condition,,,Open Access,Allowed,,,Apache 2.0
,,,Germany; Switzerland,2025,99,,Yes,CT,Original,,Neurocranium,Neurocranium; Viscerocranium,,,,,,,149,Age; Gender; Blood Test,,,Open Access,Allowed,Allowed,Restricted,CC BY-NC-SA 4.0
,,,Turkey,2025,11.7,,Yes,MRI,Original,,Abdomen; Lumbar Spine,Abdomen; Lumbar Spine,,,,,,,339,Age; Gender; Clinical Condition,,,Open Access,Allowed,Allowed,Restricted,CC BY-NC 4.0
,,,USA,2025,311,,Yes,CT; MRI,Original,,Neurocranium,Neurocranium; Cervical Spine,,,,,,,4405,Age; Gender; Clinical Condition,,,Open Access,Restricted,,,Other
,,,USA; Iraq,2020,2.7,,Yes,CT,Original,,Neurocranium,Neurocranium; Viscerocranium,,,,,,,75,Age; Gender; Orthopedic Relevant Condition,,,Open Access,Restricted,Restricted,Restricted,Other; PhysioNet Restricted Health Data License 1.5.0
,,,Germany,2024,13.8,,Yes,MRI,Original,,Neurocranium,Neurocranium; Viscerocranium,,,,,,,78,Age; Gender,,,Open Access,Allowed,Allowed,Allowed,CC0 1.0
,,,Mexico,2021,13.2,,Yes,MRI,Original,,Viscerocranium,Neurocranium; Viscerocranium,,,,,,,145,Age; Gender,,,Open Access,Allowed,Allowed,Allowed,CC0 1.0
,,,Canada,2025,1.2,,Yes,MRI; UltraSound,Original,,Neurocranium,Neurocranium; Viscerocranium,,,,,,,8,Age; Gender,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,Iran,2018,4.63,,Yes,CT,Original,,Thoracic Cage,Thoracic Cage; Thoracic Spine,,,,,,,35,Age; Gender,,,Open Access,Not Specified,Not Specified,Not Specified,N/A
,,,Spain,2025,4,,Yes,CT,Original,,Viscerocranium,Neurocranium; Viscerocranium,,,,,,,40,Age; Gender,,,Open Access,Restricted,Allowed,Restricted,CC BY-NC-ND 4.0
,,,Canada,2018,90,,Yes,MRI,Original,,Neurocranium; Viscerocranium,Neurocranium; Viscerocranium,,,,,,,359,Gender; Age,,,Open Access,Restricted,Allowed,Allowed,CC BY-ND 4.0
,,,USA,2020,980,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine,,,,,,,7929,Clinical Condition,,,Open Access,Allowed,,,Other
,,,Switzerland,2022,13.46,,Yes,MRI,Original,,Neurocranium,Neurocranium; Viscerocranium,,,,,,,284,Clinical Condition,,,Open Access,Allowed,Allowed,Allowed,CC0 1.0
,,,China,2024,97.82,,Yes,MRI,Original,,Neurocranium,Neurocranium; Viscerocranium,,,,,,,20,,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,Switzerland,2025,14.4,,Yes,CT; MRI,Original; Adopted,,Neurocranium,Neurocranium; Viscerocranium,,,,,,,346,,,,Open Access,Allowed,,,Other
,,,Switzerland,2025,2,,Yes,CT; MRI,Adopted,,Neurocranium,Neurocranium; Viscerocranium,,,,,,,25,,,,Open Access,Allowed,,,Other
,,,USA,2024,43.01,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine,,,,,,,32,,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,China,2023,1.2,,Yes,CT,Original,,Neurocranium; Viscerocranium,Neurocranium; Viscerocranium,,,,,,,658,,,,Open Access,Allowed,,,MIT
,,,N/A,2022,4.1,,Yes,MRI,Adopted,,Neurocranium; Viscerocranium,Neurocranium; Viscerocranium,,,,,,,507,,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,USA,2024,15,,Yes,MRI,Original,,Viscerocranium; Cervical Spine,Viscerocranium; Cervical Spine,,,,,,,150,,,,Open Access,Allowed,Allowed,Restricted,CC BY-NC 4.0
,,,Belgium,2024,37; only PCCT folder,,Yes,CT,Original,,Wrist; Hand,Wrist; Hand,,,,,,,8,,,,Open Access,Allowed,Allowed,Allowed,CC BY-SA 4.0
,,,India,2018,26.8,,Yes,CT,Original,,Neurocranium,Neurocranium; Viscerocranium,,,,,,,491,,,,Open Access,Allowed,Allowed,Restricted,CC BY-NC-SA 4.0
,,,USA,2016,3.8,,Yes,MRI,Original,,Neurocranium,Neurocranium; Viscerocranium,,,,,,,125,,,,Open Access,Not Specified,Not Specified,Not Specified,N/A
,,,Germany,2024,24,,Yes,CT,Adopted,,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine,,,,,,,124,,,,Open Access,Not Specified,Not Specified,Not Specified,N/A
,,,Netherlands,2010,4.52,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine,,,,,,,30,,,,Open Access,Restricted,,,Other
,,,USA,2021,,,Yes,CT; MRI,Original,,Neurocranium; Viscerocranium,Neurocranium; Viscerocranium,,,,,,,75,,,,Restricted,Allowed,Allowed,Restricted,CC BY-NC-SA 4.0
,,,USA,2008,4906,,Yes,MRI,Original,,Knee,Knee,,,,,,,4796,Age; Gender; Ethnicity; Orthopedic Relevant Condition,,,Open Access,Not Specified,,,Other
,,,USA,2020,164,,Yes,MRI,Original,,Knee,Knee,,,,,,,9311,Age; Gender; Weight; Height,,,Open Access,Restricted,,,Other
,,,Romania,2017,3.81,,Yes,MRI,Original,,Neurocranium,Neurocranium,,,,,,,27,Age; Gender; Clinical Condition,,,Open Access,Allowed,Allowed,Restricted,CC BY-NC-SA 4.0
,,,Germany,2025,1040,,Yes,MRI,Adopted,,Neurocranium,Neurocranium,,,,,,,34139,Age; Gender,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,USA,2024,35.34,,Yes,MRI,Original,,Lumbar Spine,Lumbar Spine,,,,,,,1975,Orthopedic Relevant Condition,,,Open Access,Restricted,,,Other; Subject to Competition Rules
,,,USA,2018,6.09,,Yes,MRI,Original,,Knee,Knee,,,,,,,1250,Orthopedic Relevant Condition,,,Open Access,Restricted,,,Other; Stanford University Dataset Research Use Agreement
,,,China,2025,19.3,,Yes,MRI,Original,,Knee,Knee,,,,,,,1190,,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,Denmark,2025,1700,,Yes,MRI,Adopted,,Neurocranium,Neurocranium,,,,,,,11187,,,,Open Access,Allowed; Restricted,Allowed,Allowed; Restricted,"mixed, depends on the source datasets; CC BY-NC 4.0; CC BY-SA 4.0; CC0 1.0; Other"
,,,Switzerland,2018,,,Yes,MRI,Original,,Lumbar Spine,Lumbar Spine,,,,Available,,,25,,,,Restricted,Restricted,Not Specified,Not Specified,N/A
