Dataset Name,Access Link,Related Paper,Country,Year,Size,Remarks,Medical Images Included,Imaging Modality,Image Source,Image Source Details,Primary Imaged Regions,Secondary Imaged Regions,Available 3D Bone Shapes,Additional Structures,Landmarks,Voxel Segmentation Mask,Mesh Model,CAD Model,Number of Subjects,Available Information per Subject,Subjects Vital Status,Subjects Clinical Condition,Access Policy,Data Redistribution Policy,Research Use Policy,Commercial Use Policy,License
,,,Austria,2025,243,,Yes,CT; PET,Original; Adopted,,Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Hip,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,Cranial Bones; Facial Bones; Cervical Vertebrae; Thoracic Vertebrae; Lumbar Vertebrae; Sacrum; Ribs; Sternum; Clavicle; Scapula; Humerus; Radius; Ulna; Carpals; Metacarpals; Phalanges Hand; Hip Bones; Femur; Patella; Tibia; Fibula; Tarsals; Metatarsals; Phalanges Foot,,,Available,,,1597,Age; Gender; Weight; Height; Clinical Condition,,,Open Access,Allowed,Allowed,Allowed; Restricted,CC BY 4.0; CC BY-NC 4.0
,,,USA,2024,59.03,,Yes,CT,Original,,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,Cranial Bones; Facial Bones; Cervical Vertebrae; Thoracic Vertebrae; Lumbar Vertebrae; Sacrum; Ribs; Sternum; Clavicle; Scapula; Humerus; Radius; Ulna; Carpals; Metacarpals; Phalanges Hand; Hip Bones; Femur; Patella; Tibia; Fibula; Tarsals; Metatarsals; Phalanges Foot,,,Available,,,30,Age; Gender; Weight; Height; BMI,,,Restricted,Restricted,Restricted,Restricted,Other; TCIA Restricted
,,,Switzerland,2023,23.6,,Yes,CT,Original,,,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,Cranial Bones; Facial Bones; Cervical Vertebrae; Thoracic Vertebrae; Lumbar Vertebrae; Sacrum; Ribs; Sternum; Clavicle; Scapula; Humerus; Hip Bones; Femur,,,Available,,,1228,,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,Turkey,2025,21300,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine,Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Hip; Upper Leg,Cranial Bones; Facial Bones; Cervical Vertebrae; Thoracic Vertebrae; Lumbar Vertebrae; Sacrum; Ribs; Sternum; Clavicle; Scapula; Humerus; Hip Bones; Femur,,,Available,,,21304,Age; Gender; Clinical Condition,,,Open Access,Allowed,Allowed,Restricted,CC BY-NC-SA 4.0
,,,Germany,2023,1.5,,No,CT,Adopted,,,,Cranial Bones; Facial Bones; Cervical Vertebrae; Thoracic Vertebrae; Lumbar Vertebrae; Sacrum; Ribs; Sternum; Clavicle; Scapula; Humerus; Hip Bones; Proximal Femur,,,Available,,,533,Age; Gender; Weight; Height; to be obtained from the source datasets,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,Switzerland,2025,1880,,Yes,CT,Original; Adopted,,Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,Cranial Bones; Facial Bones; Cervical Vertebrae; Thoracic Vertebrae; Lumbar Vertebrae; Sacrum; Ribs; Clavicle; Scapula; Humerus; Hip Bones; Femur,,,Available,,,22022,"N/A; Metadata is not directly available, but some sources include it.",,,Open Access,Allowed; Restricted,Allowed; Restricted,Allowed; Restricted,"mixed, depends on the source datasets; CC BY 4.0; CC BY 3.0; CC BY-SA 4.0; CC BY-NC 4.0; CC BY-NC-ND 4.0; CC BY-NC-SA 4.0; TCIA Restricted; Other"
,,,Switzerland,2025,5.1,,Yes,MRI,Original,,,Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,Cervical Vertebrae; Thoracic Vertebrae; Lumbar Vertebrae; Sacrum; Clavicle; Scapula; Humerus; Hip Bones; Femur,,,Available,,,616,,,,Open Access,Allowed,Allowed,Restricted,CC BY-NC-SA 2.0
,,,Poland,2024,48.2,,Yes,CT,Original,,Abdomen,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,Thoracic Vertebrae; Lumbar Vertebrae; Sacrum; Ribs; Sternum; Clavicle; Scapula; Hip Bones; Proximal Femur,,,Available,,,233,Age; Gender; Vital Status,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,India,2021,10.4,,Yes,CT,Original,,Shoulder; Knee,Shoulder; Upper Arm; Upper Leg; Knee; Lower Leg,Clavicle; Scapula; Proximal Humerus; Patella; Distal Femur; Proximal Fibula; Proximal Tibia,,,Available,,,24,Age; Gender,,,Restricted,Restricted,,,Other
,,,USA,2020,16.9,,Yes,CT,Original; Adopted,,Abdomen; Lumbar Spine; Pelvis; Hip,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Hip; Upper Leg,Thoracic Vertebrae; Lumbar Vertebrae; Sacrum; Ribs; Hip Bones; Proximal Femur,,,Available,,,140,,,,Open Access,Allowed,Allowed,Allowed,CC BY 3.0
